model,beta,mig,elbo
lf,0.0625,0.32993133523209306,-67.23441826542721
lf,0.125,0.32436303240082004,-56.940244264240505
lf,0.25,0.26973190447095113,-47.091379672666136
lf,0.5,0.2097550828953186,-42.08671009691456
lf,1.0,0.14047999933711336,-41.5985586431962
lf,2.0,0.0750209022709511,-45.43804390822785
lf,4.0,0.004635509299827895,-51.532671578322784
lf,8.0,-0.003082873300925331,-54.0033437994462
nlf,0.0625,0.3044857955726703,-88.27765278876582
nlf,0.125,0.2958363745275133,-70.13441332080696
nlf,0.25,0.28198810939071317,-55.03338236748418
nlf,0.5,0.21819116332866914,-47.6532461431962
nlf,1.0,0.12120306722028247,-46.91608052314082
nlf,2.0,0.048173850985915055,-51.09949194026899
nlf,4.0,0.006658441563307586,-53.8017207278481
nlf,8.0,0.0007605513256431487,-55.628553945806964
bvae,0.0625,0.0013010967761093511,-55.85266267800633
bvae,0.125,-0.02375788836650611,-48.909881205498415
bvae,0.25,-0.0003064972790446113,-43.13325133504747
bvae,0.5,0.01965220566628534,-38.43084330498418
bvae,1.0,-0.025637545447912424,-36.836833712420884
bvae,2.0,-0.03521140259362733,-41.12541102155854
bvae,4.0,-0.0005780075280586076,-48.17400736748418
bvae,8.0,0.005196009230057416,-53.71625914754747
