model,beta,mig,elbo
lf,0.03125,0.463651842982757,-72.19009592563292
lf,0.0625,0.43737065170768175,-62.253461234177216
lf,0.125,0.3750693966689698,-52.604269679588604
lf,0.25,0.26705995700773694,-46.03956623318829
lf,0.5,0.19397078278437194,-41.91502052017405
lf,1.0,0.13063556635165277,-40.70218861253956
lf,2.0,0.06285796719308485,-43.644367459454116
lf,4.0,0.0035408353989412255,-50.550456759295884
lf,8.0,0.00012328642264109648,-55.11329979232595
nlf,0.03125,0.47869539770450825,-80.56712940071202
nlf,0.0625,0.45388840848025286,-68.05591129351266
nlf,0.125,0.3598522684772787,-57.651707130142405
nlf,0.25,0.26161864658166745,-48.09739665743671
nlf,0.5,0.2024554161563633,-42.57482446598101
nlf,1.0,0.11915108520094372,-42.858154296875
nlf,2.0,0.06648918451436017,-45.868052808544306
nlf,4.0,0.0040101744496322264,-51.184539408623415
nlf,8.0,-0.0013633705861598945,-54.33738380142405
bvae,0.03125,0.0017183031094874974,-62.31584998022152
bvae,0.0625,-0.030944003064249936,-55.926677462420884
bvae,0.125,-0.007063236686797382,-48.472121612935126
bvae,0.25,-0.0031919767008451345,-43.19605728342563
bvae,0.5,-0.00771259436804986,-38.40118485462816
bvae,1.0,-0.04212782785416466,-36.73473966574367
bvae,2.0,0.007541632455406022,-41.53563216969937
bvae,4.0,0.020731710444104844,-48.23693384098101
bvae,8.0,-0.0017643137831879344,-54.63267034216772
