model,beta,mig,elbo
clear-ps,0.03125,0.3240090735677716,-73.22868250593355
clear-ps,0.0625,0.30832913202675,-61.978997725474684
clear-ps,0.125,0.28610204181259824,-55.40653431566456
clear-ps,0.25,0.25525108911629485,-46.81135655656646
clear-ps,0.5,0.17628716157755805,-39.89016453223893
clear-ps,1.0,0.11666344994163436,-40.2014531002769
clear-ps,2.0,0.06094437048522896,-42.36557740803006
clear-ps,4.0,0.007650158979592725,-47.94156385977057
clear-ps,8.0,-0.0014241741017434841,-50.49795725375791
clear-neg,0.03125,0.29398829103330315,-87.04959454113924
clear-neg,0.0625,0.2761984685227957,-80.19588731210443
clear-neg,0.125,0.27678829651487663,-61.97582080696203
clear-neg,0.25,0.22113155111452457,-54.716753609572784
clear-neg,0.5,0.17821702128557051,-42.23903839497627
clear-neg,1.0,0.11492126418029383,-43.08140390130538
clear-neg,2.0,0.04739824216302686,-45.72711258900316
clear-neg,4.0,0.005693215472258694,-49.808136372626585
clear-neg,8.0,0.002945109875094122,-52.211160007911396
bvae,0.03125,-0.00544403219496035,-59.307048556170884
bvae,0.0625,-0.0014369570869331887,-53.00291732594937
bvae,0.125,-0.0003612744600848598,-47.422434360166136
bvae,0.25,0.0008723232063329837,-41.06772584553006
bvae,0.5,0.01088456919792817,-36.62686041337025
bvae,1.0,-0.005185079196747249,-34.97816950158228
bvae,2.0,0.017651153543516103,-38.81660094442247
bvae,4.0,-0.0017819499449074619,-45.26083180874209
bvae,8.0,-2.4933533811582763e-05,-49.81881366198576
clear-tc,0.03125,0.32085195704402714,-65.17752422863924
clear-tc,0.0625,0.31580854076582143,-57.580751829509495
clear-tc,0.125,0.29264005434696594,-50.323894259295884
clear-tc,0.25,0.22232302348476804,-43.33138844936709
clear-tc,0.5,0.07787138874334511,-39.69314922863924
clear-tc,1.0,-0.0201090588373093,-37.69984609869462
clear-tc,2.0,-0.03432297452629007,-39.74490086036393
clear-tc,4.0,-0.01168980534099318,-45.58153060719937
clear-tc,8.0,0.0008342740132148575,-51.03513770767405
clear-mim (L1OutUB),0.03125,0.32536316712540436,-65.62994462025317
clear-mim (L1OutUB),0.0625,0.32381236592799784,-57.36153827136076
clear-mim (L1OutUB),0.125,0.29250190544413973,-49.578502027294306
clear-mim (L1OutUB),0.25,0.2423273492118057,-44.45918834058544
clear-mim (L1OutUB),0.5,0.16198095059550227,-39.220539334454116
clear-mim (L1OutUB),1.0,0.039987990284313164,-38.368711061115505
clear-mim (L1OutUB),2.0,-0.020403080192733597,-40.567466252966774
clear-mim (L1OutUB),4.0,-0.01692829274894647,-45.1348397943038
clear-mim (L1OutUB),8.0,0.0005929577581085773,-50.609279197982595
clear-mim (CLUB-S),0.03125,0.3228010551790184,-64.26372132120254
clear-mim (CLUB-S),0.0625,0.3071926438602391,-58.28964349287975
clear-mim (CLUB-S),0.125,0.287982612733569,-49.8330078125
clear-mim (CLUB-S),0.25,0.2308835844178883,-44.24035799050633
clear-mim (CLUB-S),0.5,0.13585811027757272,-38.839955003955694
clear-mim (CLUB-S),1.0,0.03763798091127039,-38.37221556071994
clear-mim (CLUB-S),2.0,-0.021965169272365744,-40.57740184928797
clear-mim (CLUB-S),4.0,-0.0025560336506275406,-45.71683705003956
clear-mim (CLUB-S),8.0,-0.0011484149578392959,-50.20480617088607
mlvae,0.03125,0.19623125270809436,-61.73076542721519
mlvae,0.0625,0.17921220517101416,-56.634091920490505
mlvae,0.125,0.1496243666679152,-49.36242830300633
mlvae,0.25,0.14310749883794793,-43.80201122428797
mlvae,0.5,0.11846805188447275,-40.0868398931962
mlvae,1.0,0.07368852555437559,-41.44930528085443
mlvae,2.0,0.042314950071590265,-51.161191529865505
mlvae,4.0,0.02877867072126477,-60.169402689873415
mlvae,8.0,0.019336977434175714,-71.81022547468355
gvae,0.03125,0.1931247167626366,-75.12627323971519
gvae,0.0625,0.18683202841726979,-66.22919551028481
gvae,0.125,0.18340589809315852,-61.76396855221519
gvae,0.25,0.19808323852057266,-53.61208836036393
gvae,0.5,0.19866994636524923,-47.73662480221519
gvae,1.0,0.18599055478261345,-43.86249320114715
gvae,2.0,0.14432668429989431,-43.063831957080694
gvae,4.0,0.10285669318466806,-44.29691517503956
gvae,8.0,0.07780619579617157,-46.93243794501582
